|   Sno. | Title                                        | Type   | Genre                       | Country of Origin                | Released in   | Language                                                              | Remarks/Opinions                                                                                                                                                                                                                                                                                                                                                                                                            | Personal Rating   |
|-------:|:---------------------------------------------|:-------|:----------------------------|:---------------------------------|:--------------|:----------------------------------------------------------------------|:----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:------------------|
|      1 | (500) Days of Summer                         | Movie  | Horror                      | United States                    | 2009          | English                                                               | This is a must watch for everyone, unless you're asexual.                                                                                                                                                                                                                                                                                                                                                                   | 8.5               |
|      2 | 2 States                                     | nan    | nan                         | nan                              | nan           | nan                                                                   | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | nan               |
|      3 | 3 Idiots, Nanban                             | Movies | Comedy/Drama/Romance        | India                            | 2009, 2012    | Hindi, Malayalam (dubbed)                                             | Loved the novel, and the both the movies.                                                                                                                                                                                                                                                                                                                                                                                   | 9.0               |
|      4 | 50 First Dates                               | Movie  | Romance                     | United States                    | nan           | English                                                               | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | nan               |
|      5 | A quiet place                                | Movie  | Horror                      | United States                    | nan           | English                                                               | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | nan               |
|      6 | Andhadhun                                    | Movie  | Thriller                    | India                            | 2018          | Hindi                                                                 | Really good thriller with an awesome plot.                                                                                                                                                                                                                                                                                                                                                                                  | 9.0               |
|      7 | Avengers: Age of Ultron                      | nan    | nan                         | nan                              | nan           | nan                                                                   | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | nan               |
|      8 | Avengers: Endgame                            | Movie  | nan                         | United States                    | 2019          | English                                                               | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | nan               |
|      9 | Avengers: Infinity War                       | Movie  | nan                         | United States                    | 2018          | English                                                               | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | nan               |
|     10 | Bangalore Days                               | nan    | nan                         | nan                              | nan           | nan                                                                   | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | nan               |
|     11 | Bhramam                                      | Movie  | Thriller                    | India                            | 2021          | Malayalam                                                             | Could have been better, but a watchable remake of Andhadhun.                                                                                                                                                                                                                                                                                                                                                                | 6.5               |
|     12 | Bridge to Terabithia                         | Movie  | Fantasy/Drama               | United States                    | 2007          | English                                                               | Man it made me cry. Disney doesn't have stuff like this anymore.                                                                                                                                                                                                                                                                                                                                                            | 8.5               |
|     13 | Captain America: Civil War                   | nan    | nan                         | nan                              | nan           | nan                                                                   | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | nan               |
|     14 | Coherence                                    | Movie  | Sci-Fi                      | United States                    | 2015          | English                                                               | Underrated enough; watch if you're into parallel realities and stuff like that.                                                                                                                                                                                                                                                                                                                                             | 8                 |
